system:index,aspect_deg,date,dewpoint_k,elevation_m,fire_label,landcover,ndvi,precip_total_m,slope_deg,temp_mean_k,wind_speed,.geo
0,191.98555278093679,2025-03-15,281.97278908320834,222,0,10,0.29567880231371213,1.3334027961775519E-5,2.369051129465602,302.22020830426897,0.38102511515971715,"{""type"":""Point"",""coordinates"":[80.30784277825451,19.59356286002032]}"
1,294.9218124982463,2025-03-15,282.55913348425,239,0,40,0.1451348182883939,1.3334027961775519E-5,1.1004016448386111,300.25035967145647,1.0087911640783627,"{""type"":""Point"",""coordinates"":[82.7793533664545,21.674992188551304]}"
2,180.0,2025-03-15,280.0344287781488,598,0,10,0.5814795654423176,1.3334027961775519E-5,0.4637353428839794,299.85757228306363,0.6581264261233705,"{""type"":""Point"",""coordinates"":[81.57563564999846,19.663593829888605]}"
3,23.729615064571195,2025-03-15,279.77004191988993,469,0,10,0.42444444444444446,1.3334027961775519E-5,8.547771674057154,301.3539334251767,0.6391565155848529,"{""type"":""Point"",""coordinates"":[80.58638728398807,20.49363888551127]}"
4,114.9668928953983,2025-03-15,282.0536345073155,277,0,40,0.18953895928821785,1.3334027961775519E-5,1.098542247319582,300.6039334251767,0.6764282621775529,"{""type"":""Point"",""coordinates"":[81.58327670285571,21.375432844753433]}"
5,119.66334649773638,2025-03-15,284.42243798573816,878,0,10,0.2247352595110472,2.7836608095554993E-4,5.604318425674495,297.99861580984935,0.11770965868251945,"{""type"":""Point"",""coordinates"":[82.62937853244598,18.33437535204941]}"
6,-0.0,2025-03-15,280.92575713566373,418,0,10,0.6361256544502618,1.3334027961775519E-5,25.147489683916906,299.79116022019156,1.1299322917288352,"{""type"":""Point"",""coordinates"":[82.94571129888458,22.122134474614036]}"
7,294.9276293603165,2025-03-15,282.0951035363334,247,1,40,0.1764992686494393,1.3334027961775519E-5,1.100161329214969,300.0601683117094,0.850987730902471,"{""type"":""Point"",""coordinates"":[82.58962268522933,21.636599176590114]}"
8,90.0,2025-03-15,281.18964408692864,264,1,10,0.4617963649197106,1.3334027961775519E-5,0.4998689688263625,300.554436819894,0.7826386357574342,"{""type"":""Point"",""coordinates"":[84.12588059473363,21.919054802639636]}"
9,270.0,2025-03-15,282.55913348425,220,0,40,0.758887171561051,1.3334027961775519E-5,0.4992287750832021,300.25035967145647,1.0087911640783627,"{""type"":""Point"",""coordinates"":[82.79648924038753,21.73643121520637]}"
