system:index,aspect_deg,date,dewpoint_k,elevation_m,fire_label,landcover,ndvi,precip_total_m,slope_deg,temp_mean_k,wind_speed,.geo
0,191.98555278093679,2025-05-01,290.6531059628441,222,0,10,0.28305952060328576,0.005034535387494543,2.369051129465602,306.5917453311739,1.743427087505029,"{""type"":""Point"",""coordinates"":[80.30784277825452,19.59356286001993]}"
1,294.9218124982463,2025-05-01,288.12701198032926,239,0,40,0.13735823118341162,0.015421970942952612,1.1004016448386111,305.9289325986589,1.5104853480249216,"{""type"":""Point"",""coordinates"":[82.7793533664545,21.674992188551304]}"
2,180.0,2025-05-01,290.38334801083516,598,0,10,0.5984223736106131,0.015101640680768469,0.4637353428839794,303.24120008377804,2.079428443524338,"{""type"":""Point"",""coordinates"":[81.57563564999846,19.663593829888608]}"
3,23.729615064571195,2025-05-01,287.91485377720426,469,0,10,0.45705291560485684,0.003019212940671423,8.547771674057154,306.1605464844476,2.034477799885884,"{""type"":""Point"",""coordinates"":[80.5863872839881,20.49363888551103]}"
4,114.9668928953983,2025-05-01,287.6646096365792,277,0,40,0.14207413817972017,0.0035079561266684323,1.098542247319582,306.3365369978405,1.7530942940444114,"{""type"":""Point"",""coordinates"":[81.58327670285573,21.37543284475325]}"
5,119.66334649773638,2025-05-01,292.40026346842444,878,0,10,0.26999866005627765,0.039074926832654455,5.604318425674495,299.8810054688226,0.9508463308249225,"{""type"":""Point"",""coordinates"":[82.62937853244603,18.334375352049523]}"
6,-0.0,2025-05-01,286.3589746384394,418,0,10,0.7456577189359893,0.009578346470334509,25.147489683916906,305.5451319104149,1.1467044222467475,"{""type"":""Point"",""coordinates"":[82.94571129888462,22.122134474614082]}"
7,294.9276293603165,2025-05-01,287.74866376604353,247,0,40,0.17076276582197886,0.015807210663297155,1.100161329214969,305.77928020840596,1.5537935686046387,"{""type"":""Point"",""coordinates"":[82.58962268522939,21.636599176590156]}"
8,90.0,2025-05-01,288.32695152646016,264,0,10,0.41853658536585364,0.0022066526207709103,0.4998689688263625,305.8310205822899,1.3475063087410781,"{""type"":""Point"",""coordinates"":[84.12588059473386,21.919054802639653]}"
9,270.0,2025-05-01,288.12701198032926,220,0,40,0.7570244127130354,0.015421970942952612,0.4992287750832021,305.9289325986589,1.5104853480249216,"{""type"":""Point"",""coordinates"":[82.79648924038757,21.736431215206398]}"
10,-0.0,2025-05-01,287.73360261462983,253,0,40,0.15286307053941908,0.0073047272953772335,0.0,305.85395236242385,1.6279689007833713,"{""type"":""Point"",""coordinates"":[82.09976891930347,21.57851490684015]}"
11,129.16552351248296,2025-05-01,288.0230720156715,243,0,40,0.176135013073449,0.011346875885465124,5.126254065758294,306.0353023438227,1.602418966684694,"{""type"":""Point"",""coordinates"":[83.08379703323165,21.41742362021486]}"
12,90.0,2025-05-01,288.4662337530227,385,0,50,0.3450920245398773,0.004442005613782385,0.9902314104757725,306.2418278739566,2.4771049006631443,"{""type"":""Point"",""coordinates"":[81.06788429359794,20.520320528574313]}"
13,180.0,2025-05-01,297.8094838460286,66,0,40,0.2099117060666477,0.008904664972760656,0.4637353428839794,303.67496240706674,4.061784274348098,"{""type"":""Point"",""coordinates"":[83.71700897140516,18.324529036124495]}"
14,144.59826528343336,2025-05-01,288.98699733189176,356,0,40,0.2683379758588672,0.004740744093396643,1.7063030226769103,306.04196970803395,2.381669593168836,"{""type"":""Point"",""coordinates"":[81.01341984578761,20.27627350280136]}"
15,180.0,2025-05-01,287.12397766113287,296,0,40,0.1596733314559279,0.003201126316525915,0.463735342881014,306.316651162647,1.6670841381094843,"{""type"":""Point"",""coordinates"":[81.83573568904838,21.484507646739]}"
16,252.55767151858382,2025-05-01,294.4345245361328,417,0,40,0.5985819470957185,0.020890712002255896,4.631276597480631,301.2755367188226,1.5975753640393597,"{""type"":""Point"",""coordinates"":[84.1780399326889,19.511352235177185]}"
17,57.37870413704651,2025-05-01,283.463873726981,495,0,10,0.342028040430388,0.00545561240051029,7.6956129134822895,304.6343594959804,1.0571839674996042,"{""type"":""Point"",""coordinates"":[81.40116366845749,22.40440407379605]}"
18,161.00457030668622,2025-05-01,286.82391139439176,494,0,10,0.598518747106928,0.0032713107857489376,10.665066394557721,304.08523491450717,0.5506452752373526,"{""type"":""Point"",""coordinates"":[84.18531387502028,22.435448138717536]}"
19,166.7446037132535,2025-05-01,291.1051730201358,571,0,30,0.37016842360353813,0.016488745072820166,4.279971621211488,302.9704132534209,2.1297580920430836,"{""type"":""Point"",""coordinates"":[81.99626402125826,19.379099400724613]}"
20,138.84145048124665,2025-05-01,293.0468175978887,612,0,30,0.614122880177926,0.049665688732602575,34.52897826862508,300.3017760231382,0.5564933085564963,"{""type"":""Point"",""coordinates"":[83.11108703001278,18.676812277032127]}"
21,316.4223885871995,2025-05-01,283.61446198962983,799,0,40,0.2797569153394803,0.013203888395764807,5.1075655509991735,300.6046673456828,0.8344517420163934,"{""type"":""Point"",""coordinates"":[83.97226822529997,23.13820547243014]}"
23,337.9294142579873,2025-05-01,287.1538267589751,409,0,10,0.5088585535869881,0.0026289068255209713,3.9968247740897076,304.20080643608446,0.5906729208299863,"{""type"":""Point"",""coordinates"":[84.33204040566582,22.35052387237643]}"
24,-0.0,2025-05-01,281.0792883010137,383,0,40,0.25418955076749755,5.492262635016232E-4,0.0,305.47625518980476,1.0735821870479334,"{""type"":""Point"",""coordinates"":[80.70495420199494,23.848827975078905]}"
25,90.0,2025-05-01,290.2637830461775,157,0,40,0.22831247302546395,0.0024812810215735226,1.4908792862247169,306.6768864677066,0.9196024149805457,"{""type"":""Point"",""coordinates"":[84.04569938561201,21.099643930308662]}"
26,40.570145011947915,2025-05-01,288.97123282296315,207,0,40,0.2558947629684785,0.0034522555861258297,3.0496390721045152,307.55895492008756,1.6445032726863684,"{""type"":""Point"",""coordinates"":[83.3560182723203,20.87453335303309]}"
27,262.4192360621491,2025-05-01,285.38620213099887,312,0,10,0.3060081466395112,0.0021898888144278317,3.5108571162707767,306.8489009766352,1.4967750577474115,"{""type"":""Point"",""coordinates"":[80.43157863923821,21.312559650079187]}"
28,144.3192202136255,2025-05-01,288.62289646693637,233,0,10,0.5733056708160442,0.0023732774052405148,1.712246437949134,305.7864707310994,1.4103832472884086,"{""type"":""Point"",""coordinates"":[84.19583858642737,21.809409242433816]}"
29,214.55723872586952,2025-05-01,286.78495352608815,352,0,30,0.3570763500931099,0.002774968007543066,12.200366655089129,304.0568390346708,0.5612444471037001,"{""type"":""Point"",""coordinates"":[84.32086091717282,22.49152859116612]}"
