system:index,aspect_deg,date,dewpoint_k,elevation_m,fire_label,landcover,ndvi,precip_total_m,slope_deg,temp_mean_k,wind_speed,.geo
0,191.98555278093679,2025-03-01,282.7904800687517,222,0,10,0.35372714486638535,3.1242934880992834E-5,2.369051129465602,300.4777993247622,0.049191050391100576,"{""type"":""Point"",""coordinates"":[80.30784277825451,19.59356286002032]}"
1,294.9218124982463,2025-03-01,284.58391966138566,239,0,40,0.13027128659683052,2.5547560852601237E-4,1.1004016448386111,298.44601454053605,0.4085681770098059,"{""type"":""Point"",""coordinates"":[82.7793533664545,21.674992188551304]}"
2,180.0,2025-03-01,281.0006328310285,598,0,10,0.5455614344503233,4.092868965699381E-5,0.4637353428839794,297.99576109931587,0.3162313443366835,"{""type"":""Point"",""coordinates"":[81.57563564999846,19.663593829888605]}"
3,23.729615064571195,2025-03-01,281.03178982507615,469,0,10,0.5736925515055468,1.5030471502086584E-5,8.547771674057154,299.4248731249854,0.2877041691275737,"{""type"":""Point"",""coordinates"":[80.58638728398807,20.49363888551127]}"
4,114.9668928953983,2025-03-01,284.2597183500017,277,0,40,0.21483305966064586,2.0290581403514807E-5,1.098542247319582,298.3684359505063,0.5550960520063571,"{""type"":""Point"",""coordinates"":[81.58327670285571,21.375432844753433]}"
5,119.66334649773638,2025-03-01,285.9182469958351,878,0,10,0.24012328383300643,1.9879159134461588E-4,5.604318425674495,296.2585901078724,0.062408882659471886,"{""type"":""Point"",""coordinates"":[82.62937853244598,18.33437535204941]}"
6,-0.0,2025-03-01,283.15883595602844,418,0,10,0.6766750480698122,4.8210736912324137E-4,25.147489683916906,298.00431764693485,0.5014135886634149,"{""type"":""Point"",""coordinates"":[82.94571129888458,22.122134474614036]}"
7,294.9276293603165,2025-03-01,284.1198664619809,247,0,40,0.19053432247159358,1.4471527737214274E-4,1.100161329214969,298.2712214787801,0.4605200772380224,"{""type"":""Point"",""coordinates"":[82.58962268522933,21.636599176590114]}"
8,90.0,2025-03-01,284.24200071607316,264,0,10,0.4482487209759937,0.0012417238633020133,0.4998689688263625,298.3546129408337,0.31609299199045343,"{""type"":""Point"",""coordinates"":[84.12588059473363,21.919054802639636]}"
9,270.0,2025-03-01,284.58391966138566,220,0,40,0.4685702109524824,2.5547560852601237E-4,0.4992287750832021,298.44601454053605,0.4085681770098059,"{""type"":""Point"",""coordinates"":[82.79648924038753,21.73643121520637]}"
