system:index,aspect_deg,date,dewpoint_k,elevation_m,fire_label,landcover,ndvi,precip_total_m,slope_deg,temp_mean_k,wind_speed,.geo
15,180.0,2025-04-01,284.8979947680519,296,0,40,0.12427833485262837,0.0068400524186600364,0.463735342881014,302.6623236338297,0.5511321610144487,"{""type"":""Point"",""coordinates"":[81.83573568904838,21.484507646739]}"
16,252.55767151858382,2025-04-01,290.5995096025013,417,0,40,0.4432038112252494,0.02133487384791266,4.631276597480631,299.21969086783275,0.7538493726659382,"{""type"":""Point"",""coordinates"":[84.1780399326889,19.511352235177185]}"
17,57.37870413704651,2025-04-01,282.9879198982602,495,0,10,0.2779050736497545,0.012740346007298342,7.6956129134822895,300.2521848224458,0.8823922541703402,"{""type"":""Point"",""coordinates"":[81.40116366845749,22.40440407379605]}"
18,161.00457030668622,2025-04-01,286.25152783166794,494,0,10,0.2878897751994199,0.048774334006260744,10.665066394557721,299.8147603897822,0.6216380319237167,"{""type"":""Point"",""coordinates"":[84.18531387502028,22.435448138717536]}"
19,166.7446037132535,2025-04-01,285.3335416430519,571,0,30,0.30631758679567445,0.006010907106350771,4.279971621211488,301.89981433323453,1.1366672147442685,"{""type"":""Point"",""coordinates"":[81.99626402125826,19.379099400724613]}"
20,138.84145048124665,2025-04-01,288.92930870964415,612,0,30,0.4217006540977299,0.011985423378895632,34.52897826862508,299.4023603711809,0.6343306803342565,"{""type"":""Point"",""coordinates"":[83.11108703001278,18.676812277032127]}"
21,316.4223885871995,2025-04-01,282.95665827251617,799,0,40,0.2360928602715725,0.05339129488940131,5.1075655509991735,296.00849178859164,1.095026639816629,"{""type"":""Point"",""coordinates"":[83.97226822529997,23.13820547243014]}"
23,337.9294142579873,2025-04-01,286.51797825949535,409,0,10,0.3218356328734253,0.04516425948614966,3.9968247740897076,299.98989641098746,0.5664438398949543,"{""type"":""Point"",""coordinates"":[84.33204040566582,22.35052387237643]}"
24,-0.0,2025-04-01,280.6030147643316,383,0,40,0.3631247931148626,0.0023255221175659813,0.0,299.8711510612851,0.9586330667521827,"{""type"":""Point"",""coordinates"":[80.70495420199494,23.848827975078905]}"
25,90.0,2025-04-01,290.7743142900013,157,0,40,0.24934579439252336,0.026163222603749148,1.4908792862247169,302.0246341342018,0.4090772395637507,"{""type"":""Point"",""coordinates"":[84.04569938561201,21.099643930308662]}"
26,40.570145011947915,2025-04-01,288.28434149424237,207,0,40,0.19638315908448714,0.018982546739529482,3.0496390721045152,303.3206546420143,0.05808778636984693,"{""type"":""Point"",""coordinates"":[83.3560182723203,20.87453335303309]}"
27,262.4192360621491,2025-04-01,282.0169958841233,312,0,10,0.3067838505904971,0.0021214805173386253,3.5108571162707767,303.64581507728207,0.36441824213291674,"{""type"":""Point"",""coordinates"":[80.43157863923821,21.312559650079187]}"
28,144.3192202136255,2025-04-01,289.18048290979294,233,0,10,0.5388069275176395,0.034469412975262514,1.712246437949134,301.2399254753476,0.2369474551166713,"{""type"":""Point"",""coordinates"":[84.19583858642737,21.809409242433816]}"
29,214.55723872586952,2025-04-01,285.9584660757156,352,0,30,0.18091451292246521,0.042047771029423586,12.200366655089129,299.81964901515414,0.6717074206036568,"{""type"":""Point"",""coordinates"":[84.32086091717282,22.49152859116612]}"
30,207.964386708834,2025-04-01,284.337476957412,618,0,30,0.5263901979264844,0.00758309882159125,1.0499840550272865,302.13825834365116,0.7622507449185678,"{""type"":""Point"",""coordinates"":[82.29019031823832,19.648801394322987]}"
31,64.95577093954363,2025-04-01,288.0294993718465,163,0,10,0.2308605341246291,0.01962097208971869,1.0953685878702413,303.1387466249012,0.12972707590075397,"{""type"":""Point"",""coordinates"":[83.51124722536346,20.853101673858074]}"
32,346.71406742896255,2025-04-01,284.9188397271293,406,0,10,0.46715867158671587,0.002255203537892214,4.280507639396928,302.65530168442496,0.8095715816946283,"{""type"":""Point"",""coordinates"":[80.7992489156221,19.76368794305458]}"
33,47.212649307066755,2025-04-01,287.2312525340489,371,0,10,0.31642437364676773,0.04670702140803229,0.6826698880456886,300.37776029677616,0.5374113343548693,"{""type"":""Point"",""coordinates"":[83.86395232605338,22.24101597059364]}"
34,132.97811589104936,2025-04-01,290.84155759357265,126,0,80,0.07899255867200916,0.032263787798832766,0.680227045663058,301.8753247033982,0.3992669557592811,"{""type"":""Point"",""coordinates"":[83.90816940958463,21.282332775633925]}"
35,306.4986260657114,2025-04-01,280.94713678814117,677,0,10,0.6085282795380516,0.008452611379574648,3.1155720821123545,300.3186550140381,0.9279132292086747,"{""type"":""Point"",""coordinates"":[80.91533344545292,22.346081258489]}"
36,-0.0,2025-04-01,280.7385825656709,618,0,40,0.33577891905111273,0.007682578973721377,1.390963080774087,301.41505568368103,0.8776567499888167,"{""type"":""Point"",""coordinates"":[80.84119579937905,22.100575876003532]}"
37,107.01727657518346,2025-04-01,290.2984609603881,778,0,10,0.3933563260119804,0.006028430871914736,18.359727622141897,299.25411469595775,0.9919634916072703,"{""type"":""Point"",""coordinates"":[84.08285651957686,19.31997146483408]}"
38,164.7542598639517,2025-04-01,281.53577146076026,625,0,10,0.3780749940291378,0.027192088179539553,1.92192461582116,297.76619965689525,0.508356167503234,"{""type"":""Point"",""coordinates"":[83.49552769112643,23.471473243787983]}"
39,208.58318680974224,2025-04-01,281.8408716746739,560,0,40,0.14531104921077065,0.024876581840466372,1.0560997333393418,298.6917425791422,0.6285924350080382,"{""type"":""Point"",""coordinates"":[83.27662993995939,23.4069944599019]}"
40,60.972707776713136,2025-04-01,285.69879345666794,374,0,30,0.21423312883435583,0.04523231308932196,2.8648018087516287,300.06140054975236,0.7163068496970493,"{""type"":""Point"",""coordinates"":[83.77212257266703,22.348990583829]}"
41,12.240900479959508,2025-04-01,294.8287169592721,326,0,10,0.7019958706125258,0.001453059129666201,37.305979257179764,301.52376801627025,2.4240446431960856,"{""type"":""Point"",""coordinates"":[83.0535007756364,17.84062146727864]}"
42,133.42380995527787,2025-04-01,289.05585493360246,121,0,10,0.2071847768095323,0.0024244062232483543,0.6746162316612114,304.4526126498268,1.3836377680324543,"{""type"":""Point"",""coordinates"":[80.42218123836196,18.837244074526264]}"
43,133.04985090958795,2025-04-01,284.91836307162333,286,0,30,0.28857566765578635,0.014921399168919436,0.6793149043297971,302.7071931929815,0.2875932741957042,"{""type"":""Point"",""coordinates"":[82.00046567485974,20.909250519965944]}"
44,64.57577998691359,2025-04-01,290.5434560775757,140,0,30,0.28766404199475065,1.9134800906073224E-4,1.08006575396004,304.23371151515414,1.9017421991770909,"{""type"":""Point"",""coordinates"":[81.14045314464275,18.064451829659458]}"
45,76.78850221685234,2025-04-01,284.42226350875126,602,0,10,0.39105522839407925,0.005022930316876284,4.051454055643771,302.7344323112851,0.46897596856487633,"{""type"":""Point"",""coordinates"":[81.23646619940195,20.10966452650238]}"
46,270.0,2025-04-01,287.1863887877692,178,0,10,0.41294642857142855,0.006571071557949892,2.966433751966058,303.01102038792203,0.5077481325897027,"{""type"":""Point"",""coordinates"":[83.67244054448273,20.42142862858671]}"
47,104.89152644918096,2025-04-01,286.3610888435727,359,0,10,0.296137339055794,0.020184668116520754,3.6042944682086113,301.732432683309,0.4984611737703502,"{""type"":""Point"",""coordinates"":[82.4961515404054,21.452491138127584]}"
48,270.0,2025-04-01,284.9175027665638,631,0,10,0.6264402668283808,0.007108511738728396,1.4756650829051148,302.12124988010953,0.9291571010299201,"{""type"":""Point"",""coordinates"":[82.18113052088901,19.510781746239637]}"
49,167.75482024003892,2025-04-01,281.42862279074535,877,0,10,0.41322530057501305,0.03956508856291663,2.37135401788455,297.5085615430559,1.028587165529197,"{""type"":""Point"",""coordinates"":[81.69465571254227,22.850751953318564]}"
50,125.09905235533404,2025-04-01,284.765705426534,432,0,10,0.23030072325846973,0.00501121800417792,2.4181396504488597,303.3518174489339,0.3382584887990317,"{""type"":""Point"",""coordinates"":[81.22762373488781,20.437933278182893]}"
51,14.963326912680618,2025-04-01,288.34923639751617,161,0,40,0.18461070559610707,0.011684881858776919,1.9193713411293583,302.87780098688035,0.12412468524479499,"{""type"":""Point"",""coordinates"":[84.00795342833672,20.706107568830912]}"
52,285.52125395493175,2025-04-01,285.7408728372483,538,0,10,0.3189033189033189,0.024915309958409182,5.184822415359156,300.9706906818209,0.6209147038739649,"{""type"":""Point"",""coordinates"":[83.58770059051443,22.218738882569834]}"
53,36.01944428977645,2025-04-01,283.09027294885544,938,0,10,0.7025157232704402,0.06877953033919226,15.119754883617823,297.4768988291422,0.6837944374166638,"{""type"":""Point"",""coordinates"":[84.214623065154,23.518647729385368]}"
54,169.76446874912648,2025-04-01,283.73672825949535,560,0,10,0.2680095595766473,0.016522260718296877,2.8251784142436978,299.73837925138923,1.1418556788695748,"{""type"":""Point"",""coordinates"":[81.91188279610749,22.630119386118185]}"
55,194.9746283908705,2025-04-01,289.0606738045102,115,0,40,0.4051568402036459,0.01708421330923926,1.9194724918606578,303.1128851572672,0.17989433366580942,"{""type"":""Point"",""coordinates"":[83.91838443974041,20.825330385078345]}"
56,62.39425185270255,2025-04-01,282.2686990556263,427,0,10,0.5279634189236722,0.012385594062756411,3.996617459955748,299.46120988754996,0.844256466974063,"{""type"":""Point"",""coordinates"":[83.16020511928703,23.780117153050792]}"
57,320.3116445333412,2025-04-01,284.56001694997155,424,0,10,0.24059920513604402,0.0031032882260788597,5.407602876615843,303.65411004566016,0.46940101347812374,"{""type"":""Point"",""coordinates"":[80.92554917163359,20.40951977859816]}"
58,208.41022860782417,2025-04-01,283.46644133613216,405,0,10,0.2471151752667102,0.01521094363207709,5.25764207728334,300.8915193648566,0.8804574669328559,"{""type"":""Point"",""coordinates"":[83.3302833860981,22.43117068121874]}"
59,199.86841220906408,2025-04-01,282.85776388077517,616,0,30,0.2743575724439584,0.021331953220318667,4.429027670708833,298.98969296046664,1.1365983118582108,"{""type"":""Point"",""coordinates"":[81.9911746442327,22.71915580016442]}"
60,227.11794523312093,2025-04-01,286.94180638449535,214,0,40,0.1987753179463024,0.031092765145253054,3.4034221684522072,301.6846973782494,0.2742981611937566,"{""type"":""Point"",""coordinates"":[83.07209543397549,21.77098733309372]}"
61,162.63768945479458,2025-04-01,290.0151764551798,150,0,10,0.3243096913914456,4.3539922709356915E-4,17.420298609982463,304.159463700794,1.7966736419041291,"{""type"":""Point"",""coordinates"":[80.64984022635522,18.035195563769378]}"
62,50.622063730968726,2025-04-01,283.6422690891084,534,0,40,0.388881069669247,0.03266974013323676,5.827506804149539,299.00800932021366,0.9777467210708326,"{""type"":""Point"",""coordinates"":[83.56783334571998,22.577585921293796]}"
63,312.8905646727066,2025-04-01,287.8881826400757,211,0,40,0.641688654353562,0.038583519272755495,1.3624974935434886,301.7120701926096,0.16146368149785384,"{""type"":""Point"",""coordinates"":[83.2915205984059,21.727829935780427]}"
64,191.91879220583357,2025-04-01,289.59658572787333,298,0,10,0.47454052425429344,0.002213077955197207,4.728868175516893,303.8877875010172,1.4175527240825,"{""type"":""Point"",""coordinates"":[80.89165310094373,18.642859870010277]}"
65,-0.0,2025-04-01,285.2284449168614,558,0,40,0.6774193548387096,0.005103724412869326,0.0,302.2460115523565,1.1411211281388962,"{""type"":""Point"",""coordinates"":[82.24460160007358,19.295628849604956]}"
66,180.0,2025-04-01,283.98698983873635,583,0,10,0.5003160556257902,0.0010057411717880882,3.704791833694711,302.6198024749756,0.6586665809264615,"{""type"":""Point"",""coordinates"":[81.18978798722065,19.813267314346643]}"
67,11.942297967838286,2025-04-01,288.31199913933165,384,0,40,0.25461638491547467,0.0046346656608093895,2.368672613144958,302.68665631612146,1.2330358043664127,"{""type"":""Point"",""coordinates"":[81.40525733908613,18.98474492853491]}"
68,345.0895763039529,2025-04-01,283.063551176162,556,0,10,0.45451643791892754,0.003086420111607424,1.9188989790338518,302.73371151515414,0.35054820702616474,"{""type"":""Point"",""coordinates"":[81.97823107951885,20.13512724196761]}"
69,329.8120796130518,2025-04-01,293.0592670894804,519,0,10,0.751390505756047,0.021238254718731753,20.533528886322298,299.3739063626244,1.3723494567605434,"{""type"":""Point"",""coordinates"":[84.37043832975279,19.011050068303437]}"
70,277.10020685456027,2025-04-01,284.9851994741531,345,0,40,0.2639555443293761,0.012437271289776675,7.461201332307287,302.83611106872553,0.2372029523827607,"{""type"":""Point"",""coordinates"":[82.27238488711022,20.90043791951808]}"
71,73.65907717111703,2025-04-01,290.23113046373646,706,0,10,0.7847508945774841,0.02056271057600867,21.937077673507332,300.1671599433535,1.013258525549513,"{""type"":""Point"",""coordinates"":[83.45397984040159,19.53851635581546]}"
72,180.0,2025-04-01,281.57132298605785,778,0,40,0.30115146147032773,0.03646396320338141,2.7802885155287553,297.48586809067496,0.546112887249197,"{""type"":""Point"",""coordinates"":[83.70419937566115,23.41398547029341]}"
73,175.35767954539352,2025-04-01,292.932186081296,106,0,40,0.39290681502086233,0.011978419833134524,6.026214157319721,301.925321215675,0.9516111317880195,"{""type"":""Point"",""coordinates"":[83.33489953928685,18.681616570162458]}"
74,127.51887057135896,2025-04-01,287.1852552777245,875,0,10,0.43906562163823576,0.01588554900164496,25.568245180462437,300.1505002521333,0.6383456109740859,"{""type"":""Point"",""coordinates"":[84.0581240433191,20.20184044947274]}"
75,212.50901448605228,2025-04-01,286.1385604767573,332,0,10,0.3605038903297518,0.001789721064518801,2.7474574629444932,303.714383715675,0.7994466649653251,"{""type"":""Point"",""coordinates"":[80.62893811630845,19.69750974154963]}"
76,33.05477674839384,2025-04-01,281.5543668383644,1098,0,40,0.20930232558139536,0.032369854264210574,2.7643373299900422,296.35273006984164,0.9723148456658064,"{""type"":""Point"",""coordinates"":[83.26079677880003,22.782084672769116]}"
77,180.0,2025-04-01,279.98278131939117,426,0,40,0.38127467569091933,0.002583371810864321,2.3174627380815918,300.05593645005,1.1619367319139453,"{""type"":""Point"",""coordinates"":[80.32383140339,23.69916185692228]}"
78,145.86442843458016,2025-04-01,290.2984609603881,732,0,10,0.28534499900576654,0.006028430871914736,26.05545146062221,299.25411469595775,0.9919634916072703,"{""type"":""Point"",""coordinates"":[84.13818717466492,19.262783934769097]}"
79,132.96838935000252,2025-04-01,285.66007391611737,281,0,40,0.12858052196053468,0.009543629698704592,0.6803509935341998,302.54633358546664,0.3806232974265456,"{""type"":""Point"",""coordinates"":[81.71144535747308,21.332564379670018]}"
81,227.45542895915457,2025-04-01,282.2794412431263,535,0,40,0.17491338722572622,0.025640117340039126,0.685815330582114,298.80047235034766,0.7840005263947961,"{""type"":""Point"",""coordinates"":[82.96136055301325,23.39871213457204]}"
82,110.77716897366923,2025-04-01,292.95393784840905,133,0,30,0.3798900743614614,0.006658869199704043,2.6127938570856704,302.1688863663447,1.0310902875311379,"{""type"":""Point"",""coordinates"":[83.30125217920695,18.4643242009893]}"
83,113.39187236229576,2025-04-01,285.69600327809655,323,0,30,0.2708333333333333,0.020356672220181338,6.973791686310186,303.3284787677583,0.10161071153541086,"{""type"":""Point"",""coordinates"":[82.55176832100838,20.4072970769962]}"
84,298.8926154327627,2025-04-01,280.68033177512035,536,0,10,0.4251794588625069,0.013917478136967532,2.8769755407688633,298.95432163420173,0.6970532385736431,"{""type"":""Point"",""coordinates"":[81.41161873291463,23.10812461128222]}"
85,98.1121127553387,2025-04-01,288.41410223642987,836,0,10,0.2796789184621884,0.008618222885083071,32.24960112978796,299.4135617755708,0.687941653716659,"{""type"":""Point"",""coordinates"":[83.09017807596624,18.92817472857105]}"
86,221.00284513972522,2025-04-01,280.4771718978882,745,0,30,0.22743682310469315,0.005718695335339419,3.069536469877778,299.07868221827914,0.9142002696683551,"{""type"":""Point"",""coordinates"":[80.99635636854705,23.043975561555815]}"
87,53.67602981073527,2025-04-01,279.5908309845697,813,0,40,0.18985976267529667,0.009262087159108034,6.238355704043399,299.08173397609164,0.9549627879658853,"{""type"":""Point"",""coordinates"":[80.80611795332321,23.216784531424686]}"
88,60.49392226568979,2025-04-01,285.44938055674237,702,0,10,0.5244334277620396,0.0030107669162262596,2.822469110637584,301.550315402803,0.9409303000042055,"{""type"":""Point"",""coordinates"":[81.06966489655063,19.40613621569585]}"
89,303.13765219514073,2025-04-01,282.0697244462513,328,0,10,0.35714285714285715,0.013353647999714724,4.233961794879819,299.3431155795143,0.8761830829656277,"{""type"":""Point"",""coordinates"":[83.98640124956682,23.941644208638298]}"
90,-0.0,2025-04-01,283.79986767541794,278,0,40,0.3600520494469746,0.004752161316822878,0.4637353428839794,302.9596985408238,0.5170028181201562,"{""type"":""Point"",""coordinates"":[81.42786350383939,21.635115388149014]}"
91,197.65310142253873,2025-04-01,289.3966054916382,413,0,10,0.30783732830595206,0.020415829830120913,4.854970770066585,300.94140543256486,0.8249948127733345,"{""type"":""Point"",""coordinates"":[83.34621975532852,19.49247010617396]}"
92,246.85032284254868,2025-04-01,288.5531112580073,1101,0,30,0.028881158482323435,0.016733633689831606,10.497435382540415,297.1131874266125,1.0022280377574788,"{""type"":""Point"",""coordinates"":[82.86107612809927,18.17010052840343]}"
93,122.75011792253434,2025-04-01,288.6815176010132,621,0,10,0.29141779314680916,0.023649307303379885,30.263712722659683,298.9902044932047,0.551651435520402,"{""type"":""Point"",""coordinates"":[84.23341653767646,19.932300199324203]}"
94,261.2891409939277,2025-04-01,279.79161921001617,515,0,40,0.3188622754491018,0.00820061784262549,6.100984184575595,300.1515116918655,1.0532734621668804,"{""type"":""Point"",""coordinates"":[80.34877399347813,23.17682373764623]}"
95,187.37505420176618,2025-04-01,286.9460090909686,890,0,30,0.554796647004036,0.0014321378993500389,21.796903167378776,299.4452012379964,0.734405889300136,"{""type"":""Point"",""coordinates"":[82.80239767000322,18.910225088979274]}"
96,39.34052520924372,2025-04-01,281.24806335994174,426,0,40,0.37262569832402237,0.0054548255729187645,4.78584135661186,299.33823857988625,0.723005112807235,"{""type"":""Point"",""coordinates"":[80.98828935912644,23.793972018346576]}"
97,226.95502289259508,2025-04-01,290.34069147564117,119,0,40,0.12946005683612252,0.019513281397770754,0.6793767656401161,302.6602949414934,0.4449578334262933,"{""type"":""Point"",""coordinates"":[84.17479736379588,20.93566091618531]}"
98,115.24707603361149,2025-04-01,285.0568605604626,597,0,10,0.4662309368191721,0.005885722451161257,2.1734980393701395,302.06628336225236,1.0997121472326168,"{""type"":""Point"",""coordinates"":[82.08261039620086,19.414680113546968]}"
99,133.1277835216754,2025-04-01,284.3264499391828,364,0,40,0.23818634015687776,0.00808346491331946,2.7114126331804447,302.89017077854703,0.14646387776034794,"{""type"":""Point"",""coordinates"":[81.56989027498891,20.496202255162384]}"
100,208.21706832427617,2025-04-01,289.2953975768317,198,0,40,0.5264483627204031,0.034503104500721804,2.104206133635612,302.2412508101691,0.3033406640137857,"{""type"":""Point"",""coordinates"":[83.5118638734077,21.278214646951078]}"
101,64.96365392096513,2025-04-01,287.56619603293285,212,1,10,0.24514149335151722,0.018778534941624514,2.1905814911303545,303.34307488941016,0.00672730143650601,"{""type"":""Point"",""coordinates"":[83.2517561259881,20.906925143329342]}"
102,340.0372639533487,2025-04-01,281.42366441090905,603,0,10,0.35653050932929903,0.021310301833104006,1.4798436380532711,298.5874829065232,0.9848413212055845,"{""type"":""Point"",""coordinates"":[82.09849907048682,23.41028261068139]}"
103,6.245845463128959,2025-04-01,286.54104954855785,639,0,10,0.3293691080493111,0.01866539042467963,17.61705888280423,300.606223605928,0.48935362946298083,"{""type"":""Point"",""coordinates"":[84.14374882773092,20.424206865001157]}"
104,270.0,2025-04-01,284.6372293290638,255,0,40,0.2527112748107223,0.014630379490803591,0.49952281307925633,302.6672180720738,0.7436094016449072,"{""type"":""Point"",""coordinates"":[81.80506045810117,21.820674833341354]}"
105,129.81293627720007,2025-04-01,280.3061572029477,776,0,10,0.5359430604982206,0.008448409252117983,6.490628734887211,300.12880661374044,0.9132411872129002,"{""type"":""Point"",""coordinates"":[80.99957497707089,22.154262259277427]}"
106,110.70405605031549,2025-04-01,288.1578940891085,300,0,10,0.14882697947214077,0.0033799133824814476,2.621600955042741,303.5905462900797,0.9670814031410936,"{""type"":""Point"",""coordinates"":[80.65988908766909,19.11286659616076]}"
107,72.97539991947777,2025-04-01,281.69412572043285,556,0,40,0.20150358810798497,0.013008939437817446,3.16463008592059,298.7932004474459,0.920558293672452,"{""type"":""Point"",""coordinates"":[81.95868431416002,23.277964346457686]}"
108,90.0,2025-04-01,284.3765685217721,312,0,40,0.22801616317106022,0.005553575568150393,0.49728680946037934,302.7792553674607,0.03864933885246965,"{""type"":""Point"",""coordinates"":[80.97278998860678,21.167324553394202]}"
109,180.0,2025-04-01,283.73521109989707,600,0,10,0.4265975820379965,0.040232437066983096,2.7802885155287553,297.82751964387444,1.0750223568565749,"{""type"":""Point"",""coordinates"":[83.83733286401515,22.922865505352682]}"
110,180.0,2025-04-01,280.1379210608346,383,0,30,0.07491082045184304,0.002282979302357546,0.463735342881014,299.61340250287736,1.2684280709247266,"{""type"":""Point"",""coordinates"":[80.53616893761205,24.005642286755233]}"
111,226.6184001061506,2025-04-01,286.2638511203584,598,0,30,0.4920828258221681,9.551368283737816E-4,0.6751418933006753,301.36059488568986,1.033254035353514,"{""type"":""Point"",""coordinates"":[82.505101430897,19.083422889786327]}"
112,211.2567210183845,2025-04-01,282.4122711817423,471,0,30,0.2806015037593985,0.023493158035229555,4.870615678507572,298.85077113196957,0.6231691557731404,"{""type"":""Point"",""coordinates"":[81.86334398748596,23.75393298846425]}"
113,90.0,2025-04-01,284.4356563658941,297,0,10,0.3550531914893617,0.01315953057284247,4.991634741109782,302.1238540467762,0.45435315560026773,"{""type"":""Point"",""coordinates"":[83.37143470461795,22.07445501287679]}"
114,17.300261857074336,2025-04-01,291.72277155376617,285,0,10,0.38945362134688694,0.015118914060543887,8.200770940093696,301.28842226664227,1.08459135426043,"{""type"":""Point"",""coordinates"":[83.38130766460404,19.215310335243892]}"
115,-0.0,2025-04-01,283.941248348781,370,0,10,0.28268225161488775,0.0022040925549973167,0.4637353428839794,303.956809543428,0.38087474935251453,"{""type"":""Point"",""coordinates"":[80.4384993359422,20.643177727243852]}"
116,313.3691017951939,2025-04-01,286.5287320727394,563,0,30,0.3303471444568869,0.006416680626820437,2.0251433520361797,301.5677307673863,1.303108846591707,"{""type"":""Point"",""coordinates"":[81.72368920311067,19.155358190487746]}"
117,152.2575816617755,2025-04-01,289.0172632762364,303,0,10,0.4498186215235792,5.123339223374046E-4,1.047837215917743,303.97521309625535,1.702126328504647,"{""type"":""Point"",""coordinates"":[80.29901668312742,18.07569127818222]}"
119,90.0,2025-04-01,281.66058544885544,558,0,10,0.3668085106382979,0.018219115548085085,5.536603579852052,298.73354294186544,1.0334069056181603,"{""type"":""Point"",""coordinates"":[82.19208899131372,23.29384541012789]}"
120,15.230497163067566,2025-04-01,281.5471472513108,502,0,10,0.29118370214260625,0.015327664427708498,1.9217854404063888,299.214866184053,0.7276241960604849,"{""type"":""Point"",""coordinates"":[81.23461448261806,23.332018276227885]}"
121,234.98762739783598,2025-04-01,290.5084393365043,148,0,40,0.25840813883901853,0.014477121047924868,2.42335282391639,302.5266221364339,0.6688097865007101,"{""type"":""Point"",""coordinates"":[84.36416722307736,20.926992372284584]}"
122,162.68841483887485,2025-04-01,281.58577378590905,748,0,10,0.3255022131426626,0.01971666734690558,22.55890588989809,298.5218904586066,0.6090985406634659,"{""type"":""Point"",""coordinates"":[83.4263093989241,23.555685196774856]}"
123,136.30099776361433,2025-04-01,287.11715166909363,286,0,30,0.2804482453553524,0.039959865026425234,5.753514163241757,301.56434186299646,0.3455526009430387,"{""type"":""Point"",""coordinates"":[83.24437519067341,21.533647217824704]}"
124,252.79835774074968,2025-04-01,280.83566915421255,514,0,10,0.2451888809693514,0.0032642058658112205,10.845352895734534,302.607461747669,0.6674156661260578,"{""type"":""Point"",""coordinates"":[80.9736308878632,21.75931147215845]}"
125,35.61348428890726,2025-04-01,282.25167896634053,308,0,40,0.26214073339940536,6.557128953446067E-4,1.7108056054933791,303.20698392958866,0.44657365675597255,"{""type"":""Point"",""coordinates"":[80.49490146196558,21.451489816179613]}"
126,294.9643124104819,2025-04-01,286.19333516983755,307,0,10,0.28073394495412846,0.013751345090817324,3.2927197869671803,302.11933744521366,0.5459691502294272,"{""type"":""Point"",""coordinates"":[82.40253240207956,21.393316975449654]}"
