system:index,aspect_deg,date,dewpoint_k,elevation_m,fire_label,landcover,ndvi,precip_total_m,slope_deg,temp_mean_k,wind_speed,.geo
0,191.98555278093679,2025-04-01,286.6875455493019,222,0,10,0.18137847642079807,0.0021821133422363914,2.369051129465602,304.150924591791,0.8479516032138484,"{""type"":""Point"",""coordinates"":[80.30784277825452,19.59356286001993]}"
1,294.9218124982463,2025-04-01,287.06184800465905,239,0,40,0.158465500881117,0.025708170943211428,1.1004016448386111,301.6856565021333,0.38652541781263755,"{""type"":""Point"",""coordinates"":[82.7793533664545,21.674992188551304]}"
2,180.0,2025-04-01,284.3356575284685,598,0,10,0.6333253759847219,0.0020159951972473777,0.4637353428839794,302.00627127147857,0.7336651574456415,"{""type"":""Point"",""coordinates"":[81.57563564999846,19.663593829888608]}"
3,23.729615064571195,2025-04-01,284.1402694611322,469,0,10,0.26855241264559065,0.002951728515576235,8.547771674057154,303.33712250845764,0.36532281082654794,"{""type"":""Point"",""coordinates"":[80.5863872839881,20.49363888551103]}"
4,114.9668928953983,2025-04-01,285.58124555860246,277,0,40,0.16338861036122895,0.00642439942831885,1.098542247319582,302.7152905237107,0.4199566189373001,"{""type"":""Point"",""coordinates"":[81.58327670285573,21.37543284475325]}"
5,119.66334649773638,2025-04-01,288.0462869462512,878,0,10,0.23206954841825647,0.001462834291409365,5.604318425674495,299.33490780421664,0.7073024726784667,"{""type"":""Point"",""coordinates"":[82.62937853244603,18.334375352049523]}"
6,-0.0,2025-04-01,284.13810125986737,418,0,10,0.6563297086857296,0.00881414335245978,25.147489683916906,301.7190049489339,0.5994959686626087,"{""type"":""Point"",""coordinates"":[82.94571129888462,22.122134474614082]}"
7,294.9276293603165,2025-04-01,286.2283286594209,247,0,40,0.17496166178725778,0.021993758492421023,1.100161329214969,301.7060364314488,0.4438052855052672,"{""type"":""Point"",""coordinates"":[82.58962268522939,21.636599176590156]}"
8,90.0,2025-04-01,288.90856256939117,264,0,10,0.414126611957796,0.039947944097470156,0.4998689688263625,301.1527323949905,0.20005316658914543,"{""type"":""Point"",""coordinates"":[84.12588059473386,21.919054802639653]}"
9,270.0,2025-04-01,287.06184800465905,220,0,40,0.7485599799649386,0.025708170943211428,0.4992287750832021,301.6856565021333,0.38652541781263755,"{""type"":""Point"",""coordinates"":[82.79648924038757,21.736431215206398]}"
10,-0.0,2025-04-01,285.4030635924566,253,1,40,0.1582608695652174,0.011934073977421633,0.0,302.16189929417203,0.5937071160600965,"{""type"":""Point"",""coordinates"":[82.09976891930347,21.57851490684015]}"
11,129.16552351248296,2025-04-01,287.30172779446553,243,0,40,0.1862803075103489,0.034046890549610964,5.126254065758294,301.7665891193208,0.37553562735041685,"{""type"":""Point"",""coordinates"":[83.08379703323165,21.41742362021486]}"
12,90.0,2025-04-01,284.4807177498227,385,0,50,0.302652683528686,0.006007003002117983,0.9902314104757725,303.20573997497564,0.2827133812036347,"{""type"":""Point"",""coordinates"":[81.06788429359794,20.520320528574313]}"
13,180.0,2025-04-01,296.00016761961433,66,0,40,0.26647820264841543,0.0030971638488281883,0.4637353428839794,301.75796863010953,2.984135888093267,"{""type"":""Point"",""coordinates"":[83.71700897140516,18.324529036124495]}"
14,144.59826528343336,2025-04-01,284.468830426534,356,0,40,0.2237190812720848,0.0034062586354721702,1.7063030226769103,303.41586948576423,0.5165322184916441,"{""type"":""Point"",""coordinates"":[81.01341984578761,20.27627350280136]}"
